1.1 א  שִׁיר הַשִּׁירִים, אֲשֶׁר לִשְׁלֹמֹה.	1 The song of songs, which is Solomon's.
1.2 ב  יִשָּׁקֵנִי מִנְּשִׁיקוֹת פִּיהוּ, כִּי-טוֹבִים דֹּדֶיךָ מִיָּיִן.	2 Let him kiss me with the kisses of his mouth--for thy love is better than wine.
1.3 ג  לְרֵיחַ שְׁמָנֶיךָ טוֹבִים, שֶׁמֶן תּוּרַק שְׁמֶךָ; עַל-כֵּן, עֲלָמוֹת אֲהֵבוּךָ.	3 Thine ointments have a goodly fragrance; thy name is as ointment poured forth; therefore do the maidens love thee.
1.4 ד  מָשְׁכֵנִי, אַחֲרֶיךָ נָּרוּצָה; הֱבִיאַנִי הַמֶּלֶךְ חֲדָרָיו, נָגִילָה וְנִשְׂמְחָה בָּךְ--נַזְכִּירָה דֹדֶיךָ מִיַּיִן, מֵישָׁרִים אֲהֵבוּךָ.  {פ}	4 Draw me, we will run after thee; the king hath brought me into his chambers; we will be glad and rejoice in thee, we will find thy love more fragrant than wine! sincerely do they love thee. {P}
1.5 ה  שְׁחוֹרָה אֲנִי וְנָאוָה, בְּנוֹת יְרוּשָׁלִָם; כְּאָהֳלֵי קֵדָר, כִּירִיעוֹת שְׁלֹמֹה.	5 'I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.
1.6 ו  אַל-תִּרְאוּנִי שֶׁאֲנִי שְׁחַרְחֹרֶת, שֶׁשְּׁזָפַתְנִי הַשָּׁמֶשׁ; בְּנֵי אִמִּי נִחֲרוּ-בִי, שָׂמֻנִי נֹטֵרָה אֶת-הַכְּרָמִים--כַּרְמִי שֶׁלִּי, לֹא נָטָרְתִּי.	6 Look not upon me, that I am swarthy, that the sun hath tanned me; my mother's sons were incensed against me, they made me keeper of the vineyards; but mine own vineyard have I not kept.'
1.7 ז  הַגִּידָה לִּי, שֶׁאָהֲבָה נַפְשִׁי, אֵיכָה תִרְעֶה, אֵיכָה תַּרְבִּיץ בַּצָּהֳרָיִם; שַׁלָּמָה אֶהְיֶה כְּעֹטְיָה, עַל עֶדְרֵי חֲבֵרֶיךָ.	7 Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon; for why should I be as one that veileth herself beside the flocks of thy companions?
1.8 ח  אִם-לֹא תֵדְעִי לָךְ, הַיָּפָה בַּנָּשִׁים; צְאִי-לָךְ בְּעִקְבֵי הַצֹּאן, וּרְעִי אֶת-גְּדִיֹּתַיִךְ, עַל, מִשְׁכְּנוֹת הָרֹעִים.  {פ}	8 If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock and feed thy kids, beside the shepherds' tents. {P}
1.9 ט  לְסֻסָתִי בְּרִכְבֵי פַרְעֹה, דִּמִּיתִיךְ רַעְיָתִי.	9 I have compared thee, O my love, to a steed in Pharaoh's chariots.
1.10 י  נָאווּ לְחָיַיִךְ בַּתֹּרִים, צַוָּארֵךְ בַּחֲרוּזִים.	10 Thy cheeks are comely with circlets, thy neck with beads.
1.11 יא  תּוֹרֵי זָהָב נַעֲשֶׂה-לָּךְ, עִם נְקֻדּוֹת הַכָּסֶף.	11 We will make thee circlets of gold with studs of silver.
1.12 יב  עַד-שֶׁהַמֶּלֶךְ, בִּמְסִבּוֹ, נִרְדִּי, נָתַן רֵיחוֹ.	12 While the king sat at his table, my spikenard sent forth its fragrance.
1.13 יג  צְרוֹר הַמֹּר דּוֹדִי לִי, בֵּין שָׁדַי יָלִין.	13 My beloved is unto me as a bag of myrrh, that lieth betwixt my breasts.
1.14 יד  אֶשְׁכֹּל הַכֹּפֶר דּוֹדִי לִי, בְּכַרְמֵי עֵין גֶּדִי.  {ס}	14 My beloved is unto me as a cluster of henna in the vineyards of En-gedi. {S}
1.15 טו  הִנָּךְ יָפָה רַעְיָתִי, הִנָּךְ יָפָה עֵינַיִךְ יוֹנִים.	15 Behold, thou art fair, my love; behold, thou art fair; thine eyes are as doves.
1.16 טז  הִנְּךָ יָפֶה דוֹדִי אַף נָעִים, אַף-עַרְשֵׂנוּ רַעֲנָנָה.	16 Behold, thou art fair, my beloved, yea, pleasant; also our couch is leafy.
1.17 יז  קֹרוֹת בָּתֵּינוּ אֲרָזִים, רחיטנו (רַהִיטֵנוּ) בְּרוֹתִים.	17 The beams of our houses are cedars, and our panels are cypresses.
2.1 א  אֲנִי חֲבַצֶּלֶת הַשָּׁרוֹן, שׁוֹשַׁנַּת הָעֲמָקִים.	1 I am a rose of Sharon, a lily of the valleys.
2.2 ב  כְּשׁוֹשַׁנָּה בֵּין הַחוֹחִים, כֵּן רַעְיָתִי בֵּין הַבָּנוֹת.	2 As a lily among thorns, so is my love among the daughters.
2.3 ג  כְּתַפּוּחַ בַּעֲצֵי הַיַּעַר, כֵּן דּוֹדִי בֵּין הַבָּנִים; בְּצִלּוֹ חִמַּדְתִּי וְיָשַׁבְתִּי, וּפִרְיוֹ מָתוֹק לְחִכִּי.	3 As an apple-tree among the trees of the wood, so is my beloved among the sons. Under its shadow I delighted to sit, and its fruit was sweet to my taste.
2.4 ד  הֱבִיאַנִי אֶל-בֵּית הַיָּיִן, וְדִגְלוֹ עָלַי אַהֲבָה.	4 He hath brought me to the banqueting-house, and his banner over me is love.
