1.1 א  וַיְהִי, דְּבַר-יְהוָה, אֶל-יוֹנָה בֶן-אֲמִתַּי, לֵאמֹר.	1 Now the word of the LORD came unto Jonah the son of Amittai, saying:
1.2 ב  קוּם לֵךְ אֶל-נִינְוֵה, הָעִיר הַגְּדוֹלָה--וּקְרָא עָלֶיהָ:  כִּי-עָלְתָה רָעָתָם, לְפָנָי.	2 'Arise, go to Nineveh, that great city, and proclaim against it; for their wickedness is come up before Me.'
1.3 ג  וַיָּקָם יוֹנָה לִבְרֹחַ תַּרְשִׁישָׁה, מִלִּפְנֵי יְהוָה; וַיֵּרֶד יָפוֹ וַיִּמְצָא אֳנִיָּה בָּאָה תַרְשִׁישׁ, וַיִּתֵּן שְׂכָרָהּ וַיֵּרֶד בָּהּ לָבוֹא עִמָּהֶם תַּרְשִׁישָׁה, מִלִּפְנֵי, יְהוָה.	3 But Jonah rose up to flee unto Tarshish from the presence of the LORD; and he went down to Joppa, and found a ship going to Tarshish; so he paid the fare thereof, and went down into it, to go with them unto Tarshish, from the presence of the LORD.
1.4 ד  וַיהוָה, הֵטִיל רוּחַ-גְּדוֹלָה אֶל-הַיָּם, וַיְהִי סַעַר-גָּדוֹל, בַּיָּם; וְהָאֳנִיָּה, חִשְּׁבָה לְהִשָּׁבֵר.	4 But the LORD hurled a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.
1.5 ה  וַיִּירְאוּ הַמַּלָּחִים, וַיִּזְעֲקוּ אִישׁ אֶל-אֱלֹהָיו, וַיָּטִלוּ אֶת-הַכֵּלִים אֲשֶׁר בָּאֳנִיָּה אֶל-הַיָּם, לְהָקֵל מֵעֲלֵיהֶם; וְיוֹנָה, יָרַד אֶל-יַרְכְּתֵי הַסְּפִינָה, וַיִּשְׁכַּב, וַיֵּרָדַם.	5 And the mariners were afraid, and cried every man unto his god; and they cast forth the wares that were in the ship into the sea, to lighten it unto them. But Jonah was gone down into the innermost parts of the ship; and he lay, and was fast asleep.
1.6 ו  וַיִּקְרַב אֵלָיו רַב הַחֹבֵל, וַיֹּאמֶר לוֹ מַה-לְּךָ נִרְדָּם; קוּם, קְרָא אֶל-אֱלֹהֶיךָ--אוּלַי יִתְעַשֵּׁת הָאֱלֹהִים לָנוּ, וְלֹא נֹאבֵד.	6 So the shipmaster came to him, and said unto him: 'What meanest thou that thou sleepest? arise, call upon thy God, if so be that God will think upon us, that we perish not.'
1.7 ז  וַיֹּאמְרוּ אִישׁ אֶל-רֵעֵהוּ, לְכוּ וְנַפִּילָה גוֹרָלוֹת, וְנֵדְעָה, בְּשֶׁלְּמִי הָרָעָה הַזֹּאת לָנוּ; וַיַּפִּלוּ, גּוֹרָלוֹת, וַיִּפֹּל הַגּוֹרָל, עַל-יוֹנָה.	7 And they said every one to his fellow: 'Come, and let us cast lots, that we may know for whose cause this evil is upon us.' So they cast lots, and the lot fell upon Jonah.
1.8 ח  וַיֹּאמְרוּ אֵלָיו--הַגִּידָה-נָּא לָנוּ, בַּאֲשֶׁר לְמִי-הָרָעָה הַזֹּאת לָנוּ:  מַה-מְּלַאכְתְּךָ, וּמֵאַיִן תָּבוֹא--מָה אַרְצֶךָ, וְאֵי-מִזֶּה עַם אָתָּה.	8 Then said they unto him: 'Tell us, we pray thee, for whose cause this evil is upon us: what is thine occupation? and whence comest thou? what is thy country? and of what people art thou?'
1.9 ט  וַיֹּאמֶר אֲלֵיהֶם, עִבְרִי אָנֹכִי; וְאֶת-יְהוָה אֱלֹהֵי הַשָּׁמַיִם, אֲנִי יָרֵא, אֲשֶׁר-עָשָׂה אֶת-הַיָּם, וְאֶת-הַיַּבָּשָׁה.	9 And he said unto them: 'I am an Hebrew; and I fear the LORD, the God of heaven, who hath made the sea and the dry land.'
1.10 י  וַיִּירְאוּ הָאֲנָשִׁים יִרְאָה גְדוֹלָה, וַיֹּאמְרוּ אֵלָיו מַה-זֹּאת עָשִׂיתָ:  כִּי-יָדְעוּ הָאֲנָשִׁים, כִּי-מִלִּפְנֵי יְהוָה הוּא בֹרֵחַ--כִּי הִגִּיד, לָהֶם.	10 Then were the men exceedingly afraid, and said unto him: 'What is this that thou hast done?' For the men knew that he fled from the presence of the LORD, because he had told them.
1.11 יא  וַיֹּאמְרוּ אֵלָיו מַה-נַּעֲשֶׂה לָּךְ, וְיִשְׁתֹּק הַיָּם מֵעָלֵינוּ:  כִּי הַיָּם, הוֹלֵךְ וְסֹעֵר.	11 Then said they unto him: 'What shall we do unto thee, that the sea may be calm unto us?' for the sea grew more and more tempestuous.
1.12 יב  וַיֹּאמֶר אֲלֵיהֶם, שָׂאוּנִי וַהֲטִילֻנִי אֶל-הַיָּם, וְיִשְׁתֹּק הַיָּם, מֵעֲלֵיכֶם:  כִּי, יוֹדֵעַ אָנִי, כִּי בְשֶׁלִּי, הַסַּעַר הַגָּדוֹל הַזֶּה עֲלֵיכֶם.	12 And he said unto them: 'Take me up, and cast me forth into the sea; so shall the sea be calm unto you; for I know that for my sake this great tempest is upon you.'
1.13 יג  וַיַּחְתְּרוּ הָאֲנָשִׁים, לְהָשִׁיב אֶל-הַיַּבָּשָׁה--וְלֹא יָכֹלוּ:  כִּי הַיָּם, הוֹלֵךְ וְסֹעֵר עֲלֵיהֶם.	13 Nevertheless the men rowed hard to bring it to the land; but they could not; for the sea grew more and more tempestuous against them.
1.14 יד  וַיִּקְרְאוּ אֶל-יְהוָה וַיֹּאמְרוּ, אָנָּה יְהוָה אַל-נָא נֹאבְדָה בְּנֶפֶשׁ הָאִישׁ הַזֶּה, וְאַל-תִּתֵּן עָלֵינוּ, דָּם נָקִיא:  כִּי-אַתָּה יְהוָה, כַּאֲשֶׁר חָפַצְתָּ עָשִׂיתָ.	14 Wherefore they cried unto the LORD, and said: 'We beseech Thee, O LORD, we beseech Thee, let us not perish for this man's life, and lay not upon us innocent blood; for Thou, O LORD, hast done as it pleased Thee.'
1.15 טו  וַיִּשְׂאוּ, אֶת-יוֹנָה, וַיְטִלֻהוּ, אֶל-הַיָּם; וַיַּעֲמֹד הַיָּם, מִזַּעְפּוֹ.	15 So they took up Jonah, and cast him forth into the sea; and the sea ceased from its raging.
1.16 טז  וַיִּירְאוּ הָאֲנָשִׁים יִרְאָה גְדוֹלָה, אֶת-יְהוָה; וַיִּזְבְּחוּ-זֶבַח, לַיהוָה, וַיִּדְּרוּ, נְדָרִים.	16 Then the men feared the LORD exceedingly; and they offered a sacrifice unto the LORD, and made vows.
1.1 א  וַיְמַן יְהוָה דָּג גָּדוֹל, לִבְלֹעַ אֶת-יוֹנָה; וַיְהִי יוֹנָה בִּמְעֵי הַדָּג, שְׁלֹשָׁה יָמִים וּשְׁלֹשָׁה לֵילוֹת.	1 And the LORD prepared a great fish to swallow up Jonah; and Jonah was in the belly of the fish three days and three nights.
2.2 ב  וַיִּתְפַּלֵּל יוֹנָה, אֶל-יְהוָה אֱלֹהָיו, מִמְּעֵי, הַדָּגָה.	2 Then Jonah prayed unto the LORD his God out of the fish's belly.
2.3 ג  וַיֹּאמֶר, קָרָאתִי מִצָּרָה לִי אֶל-יְהוָה--וַיַּעֲנֵנִי; מִבֶּטֶן שְׁאוֹל שִׁוַּעְתִּי, שָׁמַעְתָּ קוֹלִי.	3 And he said: I called out of mine affliction unto the LORD, and He answered me; out of the belly of the nether-world cried I, and Thou heardest my voice.
2.4 ד  וַתַּשְׁלִיכֵנִי מְצוּלָה בִּלְבַב יַמִּים, וְנָהָר יְסֹבְבֵנִי; כָּל-מִשְׁבָּרֶיךָ וְגַלֶּיךָ, עָלַי עָבָרוּ.	4 For Thou didst cast me into the depth, in the heart of the seas, and the flood was round about me; all Thy waves and Thy billows passed over me.
2.5 ה  וַאֲנִי אָמַרְתִּי, נִגְרַשְׁתִּי מִנֶּגֶד עֵינֶיךָ; אַךְ אוֹסִיף לְהַבִּיט, אֶל-הֵיכַל קָדְשֶׁךָ.	5 And I said: 'I am cast out from before Thine eyes'; yet I will look again toward Thy holy temple.
2.6 ו  אֲפָפוּנִי מַיִם עַד-נֶפֶשׁ, תְּהוֹם יְסֹבְבֵנִי; סוּף, חָבוּשׁ לְרֹאשִׁי.	6 The waters compassed me about, even to the soul; the deep was round about me; the weeds were wrapped about my head.
2.7 ז  לְקִצְבֵי הָרִים יָרַדְתִּי, הָאָרֶץ בְּרִחֶיהָ בַעֲדִי לְעוֹלָם; וַתַּעַל מִשַּׁחַת חַיַּי, יְהוָה אֱלֹהָי.	7 I went down to the bottoms of the mountains; the earth with her bars closed upon me for ever; yet hast Thou brought up my life from the pit, O LORD my God.
2.8 ח  בְּהִתְעַטֵּף עָלַי נַפְשִׁי, אֶת-יְהוָה זָכָרְתִּי; וַתָּבוֹא אֵלֶיךָ תְּפִלָּתִי, אֶל-הֵיכַל קָדְשֶׁךָ.	8 When my soul fainted within me, I remembered the LORD; and my prayer came in unto Thee, into Thy holy temple.
2.9 ט  מְשַׁמְּרִים, הַבְלֵי-שָׁוְא--חַסְדָּם, יַעֲזֹבוּ.	9 They that regard lying vanities forsake their own mercy.
2.10 י  וַאֲנִי, בְּקוֹל תּוֹדָה אֶזְבְּחָה-לָּךְ, אֲשֶׁר נָדַרְתִּי, אֲשַׁלֵּמָה:  יְשׁוּעָתָה, לַיהוָה.  {ס}	10 But I will sacrifice unto Thee with the voice of thanksgiving; that which I have vowed I will pay. Salvation is of the LORD. {S}
2.11 יא  וַיֹּאמֶר יְהוָה, לַדָּג; וַיָּקֵא אֶת-יוֹנָה, אֶל-הַיַּבָּשָׁה.  {פ}	11 And the LORD spoke unto the fish, and it vomited out Jonah upon the dry land. {P}
3.1 א  וַיְהִי דְבַר-יְהוָה אֶל-יוֹנָה, שֵׁנִית לֵאמֹר.	1 And the word of the LORD came unto Jonah the second time, saying:
3.2 ב  קוּם לֵךְ אֶל-נִינְוֵה, הָעִיר הַגְּדוֹלָה; וּקְרָא אֵלֶיהָ אֶת-הַקְּרִיאָה, אֲשֶׁר אָנֹכִי דֹּבֵר אֵלֶיךָ.	2 'Arise, go unto Nineveh, that great city, and make unto it the proclamation that I bid thee.'
3.3 ג  וַיָּקָם יוֹנָה, וַיֵּלֶךְ אֶל-נִינְוֵה--כִּדְבַר יְהוָה; וְנִינְוֵה, הָיְתָה עִיר-גְּדוֹלָה לֵאלֹהִים--מַהֲלַךְ, שְׁלֹשֶׁת יָמִים.	3 So Jonah arose, and went unto Nineveh, according to the word of the LORD. Now Nineveh was an exceeding great city, of three days' journey.
3.4 ד  וַיָּחֶל יוֹנָה לָבוֹא בָעִיר, מַהֲלַךְ יוֹם אֶחָד; וַיִּקְרָא, וַיֹּאמַר, עוֹד אַרְבָּעִים יוֹם, וְנִינְוֵה נֶהְפָּכֶת.	4 And Jonah began to enter into the city a day's journey, and he proclaimed, and said: 'Yet forty days, and Nineveh shall be overthrown.'
3.5 ה  וַיַּאֲמִינוּ אַנְשֵׁי נִינְוֵה, בֵּאלֹהִים; וַיִּקְרְאוּ-צוֹם וַיִּלְבְּשׁוּ שַׂקִּים, מִגְּדוֹלָם וְעַד-קְטַנָּם.	5 And the people of Nineveh believed God; and they proclaimed a fast, and put on sackcloth, from the greatest of them even to the least of them.
3.6 ו  וַיִּגַּע הַדָּבָר, אֶל-מֶלֶךְ נִינְוֵה, וַיָּקָם מִכִּסְאוֹ, וַיַּעֲבֵר אַדַּרְתּוֹ מֵעָלָיו; וַיְכַס שַׂק, וַיֵּשֶׁב עַל-הָאֵפֶר.	6 And the tidings reached the king of Nineveh, and he arose from his throne, and laid his robe from him, and covered him with sackcloth, and sat in ashes.
3.7 ז  וַיַּזְעֵק, וַיֹּאמֶר בְּנִינְוֵה, מִטַּעַם הַמֶּלֶךְ וּגְדֹלָיו, לֵאמֹר:  הָאָדָם וְהַבְּהֵמָה הַבָּקָר וְהַצֹּאן, אַל-יִטְעֲמוּ מְאוּמָה--אַל-יִרְעוּ, וּמַיִם אַל-יִשְׁתּוּ.	7 And he caused it to be proclaimed and published through Nineveh by the decree of the king and his nobles, saying: 'Let neither man nor beast, herd nor flock, taste any thing; let them not feed, nor drink water;
3.8 ח  וְיִתְכַּסּוּ שַׂקִּים, הָאָדָם וְהַבְּהֵמָה, וְיִקְרְאוּ אֶל-אֱלֹהִים, בְּחָזְקָה; וְיָשֻׁבוּ, אִישׁ מִדַּרְכּוֹ הָרָעָה, וּמִן-הֶחָמָס, אֲשֶׁר בְּכַפֵּיהֶם.	8 but let them be covered with sackcloth, both man and beast, and let them cry mightily unto God; yea, let them turn every one from his evil way, and from the violence that is in their hands.
3.9 ט  מִי-יוֹדֵעַ יָשׁוּב, וְנִחַם הָאֱלֹהִים; וְשָׁב מֵחֲרוֹן אַפּוֹ, וְלֹא נֹאבֵד.	9 Who knoweth whether God will not turn and repent, and turn away from His fierce anger, that we perish not?'
3.10 י  וַיַּרְא הָאֱלֹהִים אֶת-מַעֲשֵׂיהֶם, כִּי-שָׁבוּ מִדַּרְכָּם הָרָעָה; וַיִּנָּחֶם הָאֱלֹהִים, עַל-הָרָעָה אֲשֶׁר-דִּבֶּר לַעֲשׂוֹת-לָהֶם--וְלֹא עָשָׂה.	10 And God saw their works, that they turned from their evil way; and God repented of the evil, which He said He would do unto them; and He did it not.
4.1 א  וַיֵּרַע אֶל-יוֹנָה, רָעָה גְדוֹלָה; וַיִּחַר, לוֹ.	1 But it displeased Jonah exceedingly, and he was angry.
