1.1 א  מַשָּׂא דְבַר-יְהוָה, אֶל-יִשְׂרָאֵל, בְּיַד, מַלְאָכִי.	1 The burden of the word of the LORD to Israel by Malachi.
1.2 ב  אָהַבְתִּי אֶתְכֶם אָמַר יְהוָה, וַאֲמַרְתֶּם בַּמָּה אֲהַבְתָּנוּ; הֲלוֹא-אָח עֵשָׂו לְיַעֲקֹב נְאֻם-יְהוָה, וָאֹהַב אֶת-יַעֲקֹב.	2 I have loved you, saith the LORD. Yet ye say: 'Wherein hast Thou loved us?' Was not Esau Jacob's brother? saith the LORD; yet I loved Jacob;
1.3 ג  וְאֶת-עֵשָׂו, שָׂנֵאתִי; וָאָשִׂים אֶת-הָרָיו שְׁמָמָה, וְאֶת-נַחֲלָתוֹ לְתַנּוֹת מִדְבָּר.	3 But Esau I hated, and made his mountains a desolation, and gave his heritage to the jackals of the wilderness.
1.4 ד  כִּי-תֹאמַר אֱדוֹם רֻשַּׁשְׁנוּ, וְנָשׁוּב וְנִבְנֶה חֳרָבוֹת--כֹּה אָמַר יְהוָה צְבָאוֹת, הֵמָּה יִבְנוּ וַאֲנִי אֶהֱרוֹס; וְקָרְאוּ לָהֶם גְּבוּל רִשְׁעָה, וְהָעָם אֲשֶׁר-זָעַם יְהוָה עַד-עוֹלָם.	4 Whereas Edom saith: 'We are beaten down, but we will return and build the waste places'; thus saith the LORD of hosts: They shall build, but I will throw down; and they shall be called the border of wickedness, and the people whom the LORD execrateth for ever.
1.5 ה  וְעֵינֵיכֶם, תִּרְאֶינָה; וְאַתֶּם תֹּאמְרוּ יִגְדַּל יְהוָה, מֵעַל לִגְבוּל יִשְׂרָאֵל.	5 And your eyes shall see, and ye shall say: 'The LORD is great beyond the border of Israel.'
1.6 ו  בֵּן יְכַבֵּד אָב, וְעֶבֶד אֲדֹנָיו; וְאִם-אָב אָנִי אַיֵּה כְבוֹדִי וְאִם-אֲדוֹנִים אָנִי אַיֵּה מוֹרָאִי אָמַר יְהוָה צְבָאוֹת, לָכֶם הַכֹּהֲנִים בּוֹזֵי שְׁמִי, וַאֲמַרְתֶּם, בַּמֶּה בָזִינוּ אֶת-שְׁמֶךָ.	6 A son honoureth his father, and a servant his master; if then I be a father, where is My honour? and if I be a master, where is My fear? saith the LORD of hosts unto you, O priests, that despise My name. And ye say: 'Wherein have we despised Thy name?'
1.7 ז  מַגִּישִׁים עַל-מִזְבְּחִי לֶחֶם מְגֹאָל, וַאֲמַרְתֶּם בַּמֶּה גֵאַלְנוּךָ; בֶּאֱמָרְכֶם, שֻׁלְחַן יְהוָה נִבְזֶה הוּא.	7 Ye offer polluted bread upon Mine altar. And ye say: 'Wherein have we polluted thee?' In that ye say: 'The table of the LORD is contemptible.'
1.8 ח  וְכִי-תַגִּישׁוּן עִוֵּר לִזְבֹּחַ אֵין רָע, וְכִי תַגִּישׁוּ פִּסֵּחַ וְחֹלֶה אֵין רָע; הַקְרִיבֵהוּ נָא לְפֶחָתֶךָ, הֲיִרְצְךָ אוֹ הֲיִשָּׂא פָנֶיךָ--אָמַר, יְהוָה צְבָאוֹת.	8 And when ye offer the blind for sacrifice, is it no evil! And when ye offer the lame and sick, is it no evil! Present it now unto thy governor; will he be pleased with thee? or will he accept thy person? saith the LORD of hosts.
1.9 ט  וְעַתָּה חַלּוּ-נָא פְנֵי-אֵל, וִיחָנֵּנוּ; מִיֶּדְכֶם, הָיְתָה זֹּאת--הֲיִשָּׂא מִכֶּם פָּנִים, אָמַר יְהוָה צְבָאוֹת.	9 And now, I pray you, entreat the favour of God that He may be gracious unto us!--this hath been of your doing.--will He accept any of your persons? saith the LORD of hosts.
1.10 י  מִי גַם-בָּכֶם וְיִסְגֹּר דְּלָתַיִם, וְלֹא-תָאִירוּ מִזְבְּחִי חִנָּם; אֵין-לִי חֵפֶץ בָּכֶם, אָמַר יְהוָה צְבָאוֹת, וּמִנְחָה, לֹא-אֶרְצֶה מִיֶּדְכֶם.	10 Oh that there were even one among you that would shut the doors, that ye might not kindle fire on Mine altar in vain! I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.
1.11 יא  כִּי מִמִּזְרַח-שֶׁמֶשׁ וְעַד-מְבוֹאוֹ, גָּדוֹל שְׁמִי בַּגּוֹיִם, וּבְכָל-מָקוֹם מֻקְטָר מֻגָּשׁ לִשְׁמִי, וּמִנְחָה טְהוֹרָה:  כִּי-גָדוֹל שְׁמִי בַּגּוֹיִם, אָמַר יְהוָה צְבָאוֹת.	11 For from the rising of the sun even unto the going down of the same My name is great among the nations; and in every place offerings are presented unto My name, even pure oblations; for My name is great among the nations, saith the LORD of hosts.
