創世記          創      Genesis           Gen
出埃及記        出      Exodus            Exo
利未記          利      Leviticus         Lev
民數記          民      Numbers           Num
申命記          申      Deuteronomy       Deu
約書亞記        書      Joshua            Jos
士師記          士      Judges            Jug
撒母耳記上      撒上    1Samuel           1Sa
撒母耳記下      撒下    2Samuel           2Sa
列王紀上        王上    1Kings            1Ki
列王紀下        王下    2Kings            2Ki
以賽亞書        賽      Isaiah            Isa
耶利米書        耶      Jeremiah          Jer
以西結書        結      Ezekiel           Eze
何西阿書        何      Hosea             Hos
約珥書          珥      Joel              Joe
阿摩司書        摩      Amos              Amo
俄巴底亞書      俄      Obadiah           Oba
約拿書          拿      Jonah             Jon
彌迦書          彌      Micah             Mic
那鴻書          鴻      Nahum             Nah
哈巴谷書        哈      Habakkuk          Hab
西番雅書        番      Zephaniah         Zep
哈該書          該      Haggai            Hag
撒迦利亞書      亞      Zechariah         Zec
瑪拉基書        瑪      Malachi           Mal
路得記          得      Ruth              Rut
詩篇            詩      Psalms            Psa
約伯記          伯      Job               Job
箴言            箴      Proverbs          Pro
傳道書          傳      Ecclesiastes      Ecc
雅歌            歌      SongOfSongs       Son
耶利米哀歌      哀      Lamentations      Lam
但以理書        但      Daniel            Dan
以斯帖記        斯      Esther            Est
以斯拉記        拉      Ezra              Ezr
尼希米記        尼      Nehemiah          Neh
歷代志上        代上    1Chronicles       1Ch
歷代志下        代下    2Chronicles       2Ch
